Time Series,AH,BJ,CQ,FJ,GS,GD,GX,GZ,HI,HE,HL,HA,HB,HN,JS,JX,JL,LN,NM,NX,QH,SN,SD,SH,SX,SC,TJ,XJ,XZ,YN,ZJ
1011,20127.28806,13078.19945,10547.56292,16194.42215,13574.36971,32516.2719,14204.81076,11894.46798,2883.647818,32859.23806,9497.644016,32181.81293,18764.26177,15687.66485,49913.64582,11780.62735,8155.101286,24280.17835,34290.99887,11344.91948,8304.430979,16286.32217,52319.61838,14168.05304,21790.84822,21553.16305,7789.662617,29215.44574,581.4307205,14286.23885,24961.27516
1012,19101.90965,12921.3056,9688.327047,15513.99289,13609.55256,31359.60361,13213.96343,11664.27356,2478.074348,32686.88099,9436.527911,30617.26076,17626.06411,14555.3883,48422.63318,11013.25743,7973.118569,24068.00337,33954.34222,11255.82858,8196.758533,15691.70989,50657.277,13818.84373,21620.19564,20428.79664,7670.637582,28933.03006,556.8641309,13843.7367,24070.42423
1013,18308.65251,12828.12685,9153.491436,14709.77925,13461.38514,29797.99653,12568.79867,11578.35881,2156.836198,32359.90976,9531.093213,29195.00034,16726.03674,13459.84349,47488.99768,10369.41319,8105.199997,24082.49775,33919.30239,11128.44028,8284.32159,15128.88425,49734.13868,13657.40847,21330.02804,19780.81469,7669.23617,28822.15552,549.8246442,13871.24519,23547.01406
1014,17879.68736,12868.82701,8781.524495,14135.62912,13258.8151,29065.28063,12252.99499,11809.69787,2047.926408,32130.71802,10373.07175,28598.74527,16230.75038,12628.7295,47333.54674,9846.958448,8554.889343,24094.86725,34199.788,11126.63661,8336.5194,14825.08172,49721.41191,13654.45663,21452.04572,19935.72155,7606.300909,28725.57786,528.7300713,13612.6817,23464.11724
1015,18179.11386,12891.43666,8595.474774,14713.54733,13663.89996,28746.69336,12812.03683,12274.91216,2156.454822,33351.62097,11719.84805,29178.79427,15907.20588,12628.54443,48414.1361,10119.26101,9483.243689,25260.52556,35084.0385,11270.41185,8343.794494,14928.13964,51422.03922,13782.74583,21991.48606,19873.75458,7791.715983,28826.90548,546.7557446,14182.63507,23979.92868
1016,18309.6409,13586.33194,8653.539788,14720.40068,14418.58321,29325.80685,14448.39364,14322.36977,2346.74823,34378.24805,12087.07936,30356.94365,16067.81737,13710.42491,49208.27278,9974.542606,9768.436429,25796.57004,35748.39915,11333.71543,8741.791454,15601.77069,52726.92875,14426.89058,23272.65268,19818.86466,8170.388666,28901.86448,584.3602208,15613.51028,25458.13341
1017,19508.76327,14420.18237,9732.416982,16131.2318,14468.67805,33510.30859,15573.51314,16950.00247,2663.667732,35224.50731,12125.42122,30587.91663,17086.26586,15213.14034,53335.86019,10458.72287,10047.81013,25587.41524,35548.24546,11033.08065,8592.540918,16293.68029,54814.38961,15985.36326,22879.067,20605.86303,8718.643086,29311.6221,667.3125114,17328.37246,29659.09341
1018,21182.54864,15373.75727,12026.84007,18698.86002,14527.53727,40716.21501,18659.36023,19276.28534,3557.555784,38104.14711,12343.14193,32223.31717,19928.39855,18078.49432,58364.93899,13066.95399,10625.58191,27171.42936,36004.33219,11272.74933,8599.900651,17823.10371,57677.96782,17835.24435,23422.33957,25078.29848,9474.408772,29798.31231,728.9346443,19308.92492,32432.66589
1019,23003.59709,15811.38699,13244.3145,20987.82487,14784.06056,42954.40384,20329.29348,20150.05327,4215.849419,39604.87726,12677.60297,34905.31027,21500.02728,20627.60013,61812.70434,14564.78447,10945.61096,28140.2933,36430.19588,11204.83989,8125.065674,19021.35864,59790.77041,18555.33267,24157.60852,27749.13986,9750.535593,29977.06124,776.3223378,20561.60531,33883.71452
1020,24849.60421,16040.49549,14079.21749,22816.82075,14945.58735,44371.68943,21447.14177,20906.9601,4101.863263,41506.50886,13415.15686,37782.68025,22718.94399,22787.06298,62882.75932,15898.55791,11095.55006,28131.22127,37199.09671,11272.51564,8281.246564,20208.84754,61465.22055,18779.87009,25338.12069,30466.58822,10020.71472,30523.01881,799.4114833,20869.71328,33420.55992
1021,24637.66701,16018.17474,13611.19192,21560.45718,15414.52539,40948.83997,20390.25579,19991.55855,3477.644164,41169.02259,12422.08549,39934.26012,22927.56902,22738.12661,61345.50038,14492.75791,10525.24269,27213.92769,36994.57455,11338.30695,8329.878286,20736.66374,60751.91134,18860.59738,26362.91029,31561.23736,9688.3289,30673.33859,771.305163,19862.39575,31781.82984
1022,25934.79235,15935.55869,13796.81536,21141.07482,14909.54575,40072.16619,20247.14003,18228.45758,3143.582393,39947.44148,11989.47714,41223.29312,24502.10077,23180.98002,63870.01495,14871.74712,10620.85597,27399.53408,36295.88157,11520.36335,8702.824908,21231.52911,60484.06339,18983.88992,25504.65953,32168.9528,9754.38512,30720.30007,730.7058603,18171.81596,33853.9274
1023,25928.32123,15916.0025,14362.08741,22119.98507,14700.78579,44263.85159,21020.68241,18199.42422,3052.88011,40382.49428,12189.50177,40510.98028,24988.52427,23175.39331,63896.30446,15516.41425,10697.0988,27953.10881,36132.16155,11489.26749,8735.929251,21135.59013,61597.41516,19036.81803,25107.67397,32647.29473,9919.680287,30599.56112,701.8453734,18157.91869,34611.35712
1024,25649.93679,15833.23641,14640.54049,21976.59092,14610.17846,45159.41866,21909.92388,18461.66302,3029.247451,41249.82532,12213.0042,39916.96407,24913.60219,22258.67662,63936.75049,15641.40286,10810.66625,27789.9322,36671.5431,11677.17636,8911.324167,21134.9932,62166.77563,18750.04828,25373.24694,32810.90393,9957.409721,30422.13293,704.820104,18487.1015,34393.65718
1025,25209.20238,15948.59341,15053.94047,22141.67347,14754.68963,45117.42623,21799.8726,18175.74088,3168.956582,40992.46302,12847.58999,39398.72632,24502.50424,21902.74785,62945.64643,15672.04849,10950.94565,28070.73589,36892.06965,11669.148,8847.394557,21011.11516,61260.38334,18745.07585,25533.20681,32327.35552,9953.797896,30520.99013,717.6250648,18954.82528,34248.91229
1026,24715.36344,15997.69526,14888.96343,22045.32965,15340.71075,44461.91978,22306.92244,19695.49461,3768.823649,41738.54889,13522.71536,38422.29224,23753.85356,22448.48774,60700.48199,15596.30839,11093.3329,27519.20425,37804.90017,12169.33668,8543.23561,20986.66015,60624.55967,18299.77997,26385.23267,31958.09674,9916.332681,30650.42659,746.7911605,20412.00412,32810.1917
1027,23038.25678,15834.05072,14091.68563,21148.9139,15627.05302,39940.98955,21147.34702,20099.16002,3761.770402,41174.31576,12810.19081,37710.9838,21486.16084,20924.04829,57432.60334,14743.87761,10754.14911,26912.83216,38127.20363,12355.42109,8506.818159,20496.29931,58699.03121,17614.32452,26391.73903,30439.7491,9638.059133,30720.28686,746.7386283,20975.19236,30044.27377
1028,23268.70103,15668.57492,13059.27407,20673.44915,15364.93262,40044.62331,20163.18921,19630.61887,3720.910225,40358.91006,12567.03966,36416.60536,19897.53761,19902.41217,57691.62358,14105.27106,10605.86395,26621.94678,38218.74586,12355.22537,8773.103094,19752.52716,57271.5805,17495.31522,26121.19751,29109.31044,9348.367096,31019.2634,737.5446078,19912.62416,29759.55519
1029,26857.0886,15813.64349,13155.20051,20819.03436,15018.65793,40546.75257,21565.49663,20320.22915,4191.639785,40930.36772,12705.00947,37840.86314,22467.82588,22731.93463,60868.06238,15893.76084,10770.50566,27367.60151,38019.88785,12463.67975,8696.612078,20402.43087,57274.92255,17530.77005,26725.1291,29138.10557,9442.949105,30967.24792,746.4690147,19887.52595,30489.11887
1030,27222.04215,15717.60491,14078.98555,21149.90788,15278.27256,40344.47093,21781.28756,19577.90988,3947.298771,41220.21714,12042.04064,39233.38353,24022.93765,23811.39746,61067.7392,16931.19726,10302.97207,27156.55229,37679.84807,12537.50365,8854.480593,21121.84915,56049.18362,17497.07974,26120.6801,31758.34214,9281.881271,30863.18663,830.938142,19888.55659,30694.04323
1031,25783.89222,15192.1853,13430.87746,21489.77421,14787.50174,39959.28403,21762.00198,18261.58637,3549.885376,40106.80062,11132.06671,38413.23811,23684.22464,22692.89278,59116.46516,16618.18119,9661.651579,27886.51732,37135.42449,12246.87819,8480.507822,20543.2183,55361.65918,17182.21876,25549.87289,31075.44857,8971.28858,31118.92277,820.4649313,19041.77819,30484.78848
1032,24287.8481,14368.30761,12319.40544,20652.91809,14556.27059,38968.58697,20087.3067,16347.77077,2799.8679,37999.71639,10381.35651,35844.75581,21910.52142,21169.055,55781.83411,14806.29212,9042.59362,26540.8679,35854.96938,11873.77894,8367.031272,18967.75418,53194.52148,16233.224,24270.28271,28719.15197,8639.459828,31112.9557,744.6233952,17521.02054,29467.61374
1033,21510.57208,12909.77629,12166.24081,16833.47139,13967.83021,33416.57356,15411.61485,13621.91255,3917.968788,32956.72112,9804.481487,32485.05267,19614.29809,21055.98387,48571.10439,11810.23287,8371.348568,24883.94941,34768.84054,11383.97808,8337.887186,17785.74883,52349.33559,14134.84465,22039.10215,23738.45243,7763.192998,29842.01906,642.9683483,14879.30386,24089.59842
1034,20318.06312,12789.08101,11059.83271,16584.57175,13431.64576,31761.23092,14217.9856,12466.71283,3351.277345,32388.0692,9593.19753,32108.61938,18910.29279,16832.78373,47781.4804,12031.64307,8130.400025,24199.40025,34472.95667,11216.15387,8315.182916,16731.28581,50753.21126,13730.34016,21969.09884,22215.41368,7651.682403,29503.31286,588.940234,14369.7062,23138.35307
1035,19409.65787,12532.79336,10072.60832,15608.72814,13474.44821,30356.21757,13624.35388,11706.3167,2806.633311,31487.70633,9421.92984,30499.77411,18115.68833,15228.78346,46721.84709,11001.46439,8008.124786,23650.06724,34302.63431,11216.1556,8260.037737,16048.39238,49354.91184,13325.37114,21147.42526,21169.30019,7553.003821,29010.89155,571.4859155,13939.63008,22110.50061
1036,18458.39249,12380.35584,9238.656474,14941.07169,13508.78459,29288.37986,12685.95109,11485.36769,2400.525282,31326.31634,9362.370377,28968.28549,17051.43484,14143.52905,45466.35586,10311.91762,7829.19357,23436.72348,33989.77388,11133.2898,8154.812997,15472.14694,47520.55793,13026.88598,20973.06191,20117.75774,7448.522045,28719.29527,546.8740678,13527.81478,21218.31272
1037,17722.47096,12289.82369,8719.559033,14151.9545,13364.18195,27846.70209,12074.93425,11402.90357,2078.863729,31009.83353,9454.527078,27576.08159,16209.87867,13093.48097,44680.19809,9733.369123,7959.060245,23451.2977,33962.67127,11014.8026,8240.385492,14926.70628,46501.89689,12888.89988,20676.58474,19511.74488,7447.291867,28604.81649,539.8216125,13553.4156,20694.11704
1038,17324.51086,12329.36783,8358.537658,13588.58215,13166.48556,27170.25779,11775.84574,11624.95126,1969.810391,30797.61394,10275.06022,26992.42713,15746.7691,12296.88219,44549.30228,9263.899358,8401.209166,23463.73534,34226.46369,11013.12495,8291.396695,14632.28783,46487.8532,12886.37681,20801.25565,19656.61858,7392.046449,28505.09933,518.6881778,13312.78309,20611.0958
1039,17602.29519,12351.33528,8177.962671,14155.65185,13561.82444,26876.13759,12305.29806,12071.48092,2078.481849,31945.6941,11587.5338,27560.218,15444.244,12296.7048,45459.20098,9508.586238,9313.996794,24635.8148,35119.74934,11146.85408,8298.506405,14732.16243,48364.45473,12996.03145,21352.42588,19598.66515,7554.806293,28609.72085,536.7470591,13843.21106,21127.68135
1040,17723.38791,13026.49311,8234.319053,14162.37655,14298.35069,27410.77594,13855.04417,14036.70554,2269.026071,32928.20505,11945.41164,28713.46964,15594.4212,13333.65603,46127.89528,9378.544513,9594.407399,25174.81214,35752.93365,11205.73441,8687.455742,15384.98585,49804.36909,13546.61142,22661.45092,19547.33039,7887.210264,28687.11658,574.4208127,15174.85726,22608.10453
1041,18835.83925,13836.65927,9281.449011,15546.72398,14347.2403,31273.91358,14920.61223,16558.8034,2586.363284,33737.59436,11982.77693,28939.56149,16546.70514,14773.96541,49603.48608,9813.621429,9869.096536,24964.50519,35545.52986,10926.10609,8541.598103,16055.52321,52107.83218,14878.7093,22259.30689,20283.35574,8368.475364,29110.19436,657.5259234,16770.79636,26815.36922
1042,20388.64556,14763.14931,11508.35599,18066.15348,14404.68341,37926.41609,17843.12856,18791.65469,3481.429511,36483.89326,12194.95224,30540.40124,19204.19577,17520.32451,53838.16805,12157.33766,10437.1802,26557.24501,35973.20234,11149.02824,8548.790528,17537.70464,55267.72219,16459.88726,22814.39268,24466.11648,9031.896642,29612.70562,719.2615807,18614.00052,29593.10419
1043,22078.07097,15188.34881,12690.00479,20312.15058,14655.03499,39992.71504,19424.67393,19630.32907,4140.5908,37912.93502,12520.89448,33165.71599,20673.72202,19963.56888,56741.32195,13503.26501,10751.84297,27531.44604,36376.9804,11085.86388,8084.749924,18698.94696,57599.14926,17075.37968,23565.64973,26963.97041,9274.284477,29797.26522,766.7365747,19779.80944,31046.33052
1044,23790.65106,15410.94983,13500.33978,22106.81312,14812.67559,41301.155,20483.35565,20356.8359,4026.454407,39727.72257,13239.66269,35982.27873,21813.45056,22033.35171,57642.35029,14701.77324,10899.26789,27522.32403,37119.74425,11148.81088,8237.38037,19849.7558,59446.86491,17267.30208,24771.83164,29505.41264,9511.451344,30360.97046,789.8682566,20066.55059,30582.48083
1045,23594.03241,15389.26306,13046.08642,20874.03361,15270.3314,38141.17577,19482.40957,19478.20005,3401.412565,39414.17321,12271.88508,38088.38944,22008.52205,21986.44761,56347.91786,13438.54306,10338.52348,26599.97745,36901.68094,11210.0051,8284.906553,20361.26841,58659.74527,17336.30339,25818.90484,30529.16256,9219.678606,30516.17676,761.710157,19129.08899,28941.29139
1046,24797.40319,15308.9936,13226.24767,20462.52377,14777.50112,37331.82936,19346.86878,17785.91132,3066.910489,38257.76384,11850.29537,39350.1814,23480.76274,22410.90982,58473.65833,13779.09691,10432.53351,26786.60626,36231.6212,11379.34055,8649.375018,20840.848,58364.18147,17441.68716,24941.99179,31097.51694,9277.663643,30564.66484,721.0360597,17555.74834,31016.4987
1047,24791.3998,15289.99287,13774.88592,21423.05822,14573.76373,41201.59897,20079.46835,17758.04405,2976.088657,38666.97884,12045.22533,38652.92181,23935.58523,22405.55512,58495.79513,14358.38484,10507.49789,27343.23042,36083.94382,11350.41748,8681.726804,20747.87246,59592.7385,17486.92724,24536.37395,31544.87719,9422.761963,30440.00097,692.1224041,17542.81482,31775.06514
1048,24533.13663,15209.57763,14045.14519,21282.35582,14485.33634,42028.38769,20921.64317,18009.75043,2952.42485,39490.7486,12068.12915,38071.45891,23865.53054,21526.90863,58529.85228,14470.69768,10619.16102,27179.15494,36582.3637,11525.19646,8853.134486,20747.29396,60221.01415,17241.81201,24807.72169,31697.8896,9455.881367,30256.80505,695.1026149,17849.1693,31557.03849
1049,24124.25793,15321.65809,14446.38039,21444.3395,14626.3707,41989.62022,20817.41679,17735.31191,3092.318123,39244.3393,12686.55189,37564.17303,23481.13999,21185.76118,57695.30371,14498.23537,10757.08822,27461.50546,36791.97455,11517.72906,8790.65818,20627.24237,59220.83195,17237.56185,24971.15982,31245.66009,9452.710859,30358.87584,707.9311659,18284.45715,31412.07637
1050,23666.11304,15369.36528,14286.25799,21349.80421,15198.29268,41384.45578,21297.629,19194.02707,3692.975835,39939.65737,13344.48164,36608.37385,22781.12616,21708.83711,55804.78702,14430.17649,10897.08791,26906.93565,37663.77521,11982.96772,8493.413647,20603.54274,58519.21576,16856.94709,25841.71261,30900.31779,9419.82339,30492.51995,737.1509933,19640.58286,29971.19659
1051,22110.2255,15210.36882,13512.44103,20470.2157,15477.74581,37210.7269,20199.42872,19581.47988,3685.913291,39399.95202,12650.10527,35912.09744,20660.75643,20247.70588,53053.10479,13664.19534,10563.59157,26297.2233,37983.58816,12156.04973,8457.82407,20128.32854,56394.4412,16271.05698,25848.36045,29480.31185,9175.551129,30564.65119,737.0983643,20164.71485,27201.12764
1052,22324.01353,15049.5931,12510.4094,20003.67623,15221.93179,37306.40173,19267.3614,19131.75696,3644.999259,38631.62407,12413.14724,34645.073,19175.33974,19268.49715,53271.21001,13090.35335,10417.79287,26004.73555,38038.31568,12155.86768,8718.055578,19407.53059,54819.28351,16169.33429,25571.93612,28236.04424,8921.255564,30873.34669,727.887406,19175.83414,26915.98177
1053,25653.03705,15190.54122,12603.5131,20146.52856,14883.98815,37769.96814,20595.4461,19793.67009,4116.349257,39168.0683,12547.60292,36039.23205,21578.64659,21980.51278,55945.8963,14697.46267,10579.67386,26754.4978,37854.36396,12256.74396,8643.303424,20037.35958,54822.97138,16199.63915,26188.99994,28262.97434,9004.280923,30819.64032,736.8282539,19152.47645,27646.64036
1054,25991.61223,15097.23047,13500.11466,20471.19102,15137.35669,37583.22146,20799.81543,19081.16494,3871.686193,39447.72773,11901.52007,37402.32442,23032.72894,23015.14675,56114.03203,15629.68702,10119.9799,26542.28599,37529.55312,12325.4095,8797.58313,20734.55592,53470.39782,16170.8425,25571.40746,30713.50107,8862.893414,30712.19627,821.4529957,19153.43562,27851.87226
1055,24657.40993,14586.73461,12871.07793,20804.67748,14658.39337,37227.6164,20781.55062,17817.70955,3473.748994,38395.5167,11014.72339,36599.51107,22716.02077,21943.09229,54470.98261,15348.41561,9489.413126,27276.2721,37011.68875,12055.09111,8432.111843,20173.79826,52711.73105,15901.71642,24988.1883,30074.83777,8590.250974,30976.24573,810.9604906,18365.38001,27642.30347
1056,23269.49796,13786.25794,11792.31228,19983.53057,14432.72543,36313.00354,19195.49527,15980.75941,2722.742968,36390.58672,10283.13396,34085.3083,21057.54799,20482.53775,51663.09223,13720.28005,8880.735579,25923.21003,35783.83759,11708.06169,8321.214944,18646.99827,50320.34648,15090.5672,23680.77398,27871.15591,8298.967236,30970.08469,734.9792343,16950.08459,26623.60218
1057,19801.77792,12372.03372,11318.27524,16048.83062,13688.72208,30968.16613,14583.07578,13056.3785,3837.527227,31612.0376,9568.101641,30962.99391,18058.30833,20002.47538,45379.47266,11221.77598,8127.621727,23862.03739,34769.30352,11115.84093,8315.363435,17029.86799,49003.23945,12902.45799,21400.7634,22392.55337,7379.817438,29545.40464,631.2159515,14358.54739,23279.29422
1058,18607.21075,12262.29578,10306.09604,15805.53146,13192.59503,29363.55856,13482.15185,11924.79214,3292.095049,31035.09795,9364.657159,30598.17394,17376.76831,16022.56635,44512.16575,11440.74663,7908.885919,23147.5128,34496.65349,10941.6536,8294.910698,15990.49219,47513.0877,12514.78539,21331.17346,20970.4244,7265.713527,29233.80172,578.5024865,13879.75466,22472.75193
1059,17697.23763,12029.27526,9402.950102,14851.6453,13232.19978,28001.60788,12934.62559,11179.93921,2767.883178,30138.15648,9199.744181,29038.96301,16607.5202,14510.96971,43348.28612,10421.91869,7797.883077,22574.12528,34339.92524,10941.65539,8245.234146,15317.36957,46207.62655,12126.66759,20514.35173,19993.62174,7164.740054,28780.78399,561.4728786,13475.67643,21601.25597
1060,16744.33041,11890.67682,8640.023021,14199.01177,13263.97096,26966.49862,12069.10552,10963.50661,2377.010173,29985.66555,9142.394611,27554.72221,15577.22775,13488.2349,41969.28013,9739.969516,7635.447298,22351.43949,34051.89614,10855.6477,8150.444314,14749.36903,44495.06216,11840.60273,20341.01797,19011.74983,7057.828426,28512.52126,537.4599033,13088.75517,20844.78734
1061,16007.13871,11808.36365,8165.135293,13427.6505,13130.17132,25569.00726,11505.54438,10882.72814,2067.415659,29656.18779,9231.131932,26205.46907,14762.5262,12498.67823,41105.78045,9167.795598,7753.341733,22366.6519,34027.02884,10732.66801,8227.530771,14211.73251,43544.03379,11708.35839,20046.29145,18445.88869,7056.569639,28407.20307,530.5790532,13112.80843,20400.33208
1062,15608.49176,11844.31776,7834.860847,12876.95457,12947.24448,24913.29549,11229.68511,11100.23696,1962.453426,29462.7192,10021.22003,25639.82089,14314.19476,11747.9701,40962.00717,8703.49856,8154.729515,22379.63416,34269.9327,10730.92675,8273.483304,13921.52659,43530.92252,11705.94031,20170.2262,18581.16371,7000.039421,28315.46528,509.9598518,12886.72204,20329.94
1063,15886.75553,11864.29089,7669.664799,13431.26465,13313.04829,24628.18987,11718.01657,11537.63914,2067.048106,30561.84624,11284.99562,26190.09489,14021.32344,11747.80293,41961.42136,8945.489423,8983.36843,23603.03732,35093.42257,10869.72628,8279.88796,14019.97218,45282.92954,11811.0321,20718.14185,18527.05001,7166.584445,28411.71499,527.579312,13385.0859,20767.94277
1064,16008.05724,12478.15437,7721.221505,13437.83804,13994.54996,25146.44194,13147.39891,13462.69273,2250.444117,31552.76897,11629.59477,27307.76767,14166.70838,12725.01723,42695.90155,8816.880528,9237.928343,24165.63658,35676.59523,10930.83907,8630.266039,14663.45503,46627.24267,12338.70182,22019.4373,18479.11646,7506.718878,28482.9175,564.3363619,14636.23473,22023.16458
1065,17122.42863,13214.76943,8679.171067,14791.03629,14039.78711,28891.17715,14130.20774,15933.23655,2555.876517,32367.63096,11665.57366,27526.88437,15088.60431,14082.35292,46513.41966,9247.163666,9487.294244,23946.12059,35485.32285,10640.60854,8498.872784,15324.39837,48777.77034,13615.36958,21619.66787,19166.37604,7999.176387,28872.14059,645.4193016,16135.70009,25590.42188
1066,18677.91501,14057.14787,10716.42016,17253.77615,14092.93875,35339.78519,16825.74167,18120.44628,3417.364594,35109.73116,11869.87642,29078.33675,17661.29264,16670.49912,51164.70806,11565.05629,10003.007,25608.60422,35879.11048,10871.98287,8505.351952,16785.37281,51727.86359,15130.75294,22171.47597,23072.00563,8678.02634,29334.44087,705.6527643,17867.48345,27945.60894
1067,20370.25628,14443.74554,11797.43207,19449.23611,14324.587,37342.75354,18284.45352,18941.97737,4051.797639,36530.22085,12183.72491,31622.65815,19083.92534,18972.99249,54353.47316,12896.15389,10288.66143,26625.46413,36250.9648,10806.42361,8087.329243,17930.00013,53904.49861,15720.63401,22918.29696,25404.36284,8926.051201,29504.232,751.972564,18962.81979,29177.77107
1068,22085.79221,14646.13768,12538.75366,21203.51697,14470.45054,38611.09075,19260.91084,19653.63372,3941.943039,38345.74112,12875.82396,34352.32736,20187.28438,20923.53878,55343.14433,14081.45669,10422.49543,26615.94269,36935.21148,10871.75727,8224.823661,19064.34324,55629.53759,15904.57031,24117.35654,27777.4204,9168.733673,30022.82953,774.5413898,19232.22757,28784.48201
1069,21888.83421,14626.41975,12123.18747,19998.47622,14893.91569,35547.96264,18337.70501,18792.95801,3340.349461,38056.74845,11943.95475,36393.46263,20376.13101,20879.33674,53921.36612,12832.14507,9913.44532,25653.20786,36734.02384,10935.2717,8267.636775,19568.53715,54894.67773,15970.70039,25158.24694,28733.34119,8870.175403,30165.61621,747.0684525,18351.43507,27392.94964
1070,23094.28195,14553.43757,12288.00502,19596.22575,14437.9039,34763.42212,18212.69124,17135.26124,3018.396133,36927.04507,11538.0077,37616.32716,21801.39152,21279.34643,56256.23613,13168.94662,9998.788688,25848.00888,36116.82586,11111.02756,8595.961698,20041.25493,54618.7375,16071.69902,24286.51193,29264.03893,8929.508954,30210.22427,707.3840655,16873.2021,29152.47725
1071,23088.26819,14536.16183,12789.91767,20535.14723,14249.38738,38514.58604,18888.39216,17107.9636,2930.981455,37319.13959,11725.70498,36940.57866,22241.70033,21274.3002,56280.55075,13741.85182,10066.8422,26429.00682,35980.93837,11081.00786,8625.105228,19949.60968,55765.7261,16115.05661,23883.2892,29681.75908,9077.981713,30095.53601,679.1739569,16861.0504,29795.65088
1072,22829.55927,14463.0471,13037.1599,20397.61077,14167.56623,39316.03427,19665.15799,17354.52487,2908.205389,38131.79913,11747.75897,36377.05442,22173.88112,20446.27099,56317.95843,13852.92717,10168.21126,26257.7467,36439.75557,11262.41366,8779.514783,19949.03946,56352.28821,15880.14091,24153.03468,29824.63357,9111.871349,29926.99944,682.0816511,17148.88591,29610.79035
1073,22419.97487,14564.95231,13404.2233,20555.94966,14298.06417,39278.455,19569.02654,17085.69613,3042.850606,37882.97315,12343.23577,35885.41877,21801.75673,20124.77644,55401.30728,13880.16144,10293.42312,26552.46096,36632.80192,11254.66313,8723.234117,19830.70556,55418.5118,15876.0676,24315.50772,29402.36677,9108.627107,30020.90252,694.598049,17557.86082,29487.87981
1074,21961.03925,14608.32839,13257.73796,20463.54151,14827.25886,38691.83842,20011.94221,18514.59379,3620.974819,38530.22942,12976.75372,34959.10687,21124.08081,20617.71889,53324.80227,13812.85245,10420.51642,25973.60732,37435.77114,11737.5415,8455.466676,19807.34503,54763.47849,15511.29066,25180.92004,29079.90533,9074.974799,30143.85242,723.1068793,18832.00938,28266.18608
1075,20402.46631,14463.76646,12549.82429,19603.7446,15085.83454,34646.03137,18999.03561,18894.1267,3614.177225,37986.71648,12308.14146,34284.31122,19071.37349,19240.76086,50302.41058,13055.31106,10117.76468,25337.19653,37730.51386,11917.18598,8423.406439,19338.93017,52779.77556,14949.7801,25187.52862,27753.98268,8825.021687,30210.21172,723.055531,19324.45785,25917.49889
1076,20616.62334,14317.5868,11633.13219,19147.70273,14849.13193,34738.77383,18139.35894,18453.59654,3574.798071,37246.5696,12079.97552,33056.37564,17633.35743,18317.96261,50541.9729,12487.7918,9985.406969,25031.90116,37780.42979,11916.99704,8657.831356,18628.44537,51309.1984,14852.2902,24912.73654,26592.15471,8564.812168,30494.20539,714.0687,18395.3545,25675.72929
1077,23951.3926,14445.73891,11718.30657,19287.34074,14536.43547,35188.13226,19364.29559,19101.97955,4028.465511,37757.41363,12209.44236,34407.52361,19959.97316,20873.7438,53479.79383,14077.19361,10132.36436,25814.49443,37611.09119,12021.69807,8590.49221,19249.26279,51312.64142,14881.33404,25526.15669,26617.30054,8649.768383,30444.79661,722.7919931,18373.40877,26295.24039
1078,24290.55214,14360.8994,12538.54772,19604.69798,14770.87529,35007.10923,19552.79222,18404.03867,3792.98091,38046.00847,11587.33175,35728.56334,21367.65478,21848.77433,53664.47069,14999.1465,9715.048995,25592.99017,37311.92438,12092.9671,8729.472335,19936.48367,50049.87021,14853.73566,24912.211,28905.46626,8505.092734,30345.95023,805.3575873,18374.30996,26469.2525
1079,22954.04707,13896.74902,11963.08384,19930.68067,14327.69448,34662.40321,19535.94598,17166.40948,3409.972209,37023.36415,10733.43876,34950.51751,21061.05297,20838.47904,51859.77868,14720.97421,9142.613357,26359.11649,36834.97838,11812.39948,8400.244038,19383.74931,49341.57413,14595.80822,24332.43565,28309.11795,8226.109661,30588.87045,795.1203931,17633.89193,26291.56323
1080,21563.73962,13168.94379,10976.19289,19128.01037,14118.8858,33775.82258,18073.07442,15367.00832,2687.139957,35034.78825,10028.99421,32513.88019,19455.50317,19462.06447,48775.6491,13110.77782,8590.049007,24946.80576,35703.9957,11452.2123,8300.344542,17878.79471,47108.96241,13818.41184,23032.74142,26251.44226,7928.051762,30583.20242,720.9879651,16304.15043,25427.82637
1081,16321.27003,11820.75626,8407.739801,14670.90433,13400.06375,35977.69764,13513.13243,12607.79324,2758.668212,30687.80904,9430.264224,25556.92044,16996.5187,12662.90252,39225.74612,8907.684387,7607.214882,21797.61374,34361.87719,10867.33076,8075.324365,14894.99413,43693.46239,11702.03432,20025.31763,18894.30182,7046.557343,29408.94037,606.0965467,14387.68471,20900.61325
1082,15634.05119,11736.5918,7879.44224,13842.94819,13202.14138,33335.08335,12582.81368,11955.91726,2490.043906,29918.10309,9180.357562,25926.13543,14544.60539,12060.95277,39517.65689,8630.41249,7499.284417,22044.40886,34042.96578,10791.72871,8144.695583,14178.67606,43187.91073,11239.99196,19912.30906,19333.35401,6800.365454,28917.81619,569.8786458,13632.9902,20053.43474
1083,15006.29675,11563.58005,7428.537901,13286.54172,12995.98018,30562.75063,11806.11035,11303.14997,2233.385685,29270.27856,9093.024347,25994.84275,13973.31543,11406.37067,38375.40676,8425.536142,7443.112835,21635.94104,33963.34969,10788.91602,8144.59131,13609.64286,42466.06725,10975.86404,19745.22822,17661.52413,6712.633085,28354.15218,554.4941873,12968.76848,19217.44182
