Time Series,AH,BJ,CQ,FJ,GS,GD,GX,GZ,HI,HE,HL,HA,HB,HN,JS,JX,JL,LN,NM,NX,QH,SN,SD,SH,SX,SC,TJ,XJ,XZ,YN,ZJ
3982,28485.95916,13450.31035,13130.25493,28854.45201,16257.50379,84343.43811,21839.29726,16354.17783,4384.21771,43754.03865,11004.98221,44307.07479,26744.98299,21795.09954,76986.29291,17491.97167,8065.734451,25378.55446,39165.02597,12882.80043,8508.458598,21111.64891,63714.7186,18542.52451,26480.62952,29690.00504,9841.034187,31779.66558,809.8974289,20128.75915,55877.37213
3983,27599.40906,12495.8535,12623.39673,29200.88724,15696.72564,83547.14242,21824.48316,15374.93668,4186.225316,42548.38084,10032.80188,43702.90553,26483.26091,21056.94533,74989.67013,17245.31896,7507.314683,26135.49335,38570.04215,12577.44644,8125.437994,20522.88037,63132.29093,18141.4465,25970.97649,29184.85305,9432.773516,32144.40808,799.5900821,19327.6008,55500.02893
3984,26677.16997,10999.22931,11754.16099,28347.85644,15432.5099,81499.07744,20538.07625,13951.20842,3812.564644,40149.19751,9230.772644,41810.80441,25112.72806,20051.2926,71577.54031,15817.57319,6968.279662,24740.11913,37161.31802,12185.43899,8009.216012,18919.8139,61296.42756,16932.59259,24828.47689,27441.84657,8996.598961,32135.89758,724.9496459,17888.7737,53665.78632
3985,23733.58026,9194.728426,9871.815474,24462.4676,14511.44567,79575.67991,17704.28997,12398.79918,3646.350276,36740.50491,8529.527209,37111.06394,23851.06051,16717.95112,62796.25164,12860.05091,6212.341905,22390.51881,35609.85828,11944.86863,7839.575604,16218.78719,61480.71386,14863.75668,22676.69435,21733.16665,8281.577921,30925.87001,628.4517602,16255.56165,44444.62946
3986,23303.67174,9000.444422,9427.902912,23576.61603,14277.76903,75840.40203,16830.79657,11829.70724,3477.869275,35811.33191,8204.585818,37363.45922,21891.61243,16253.88435,62973.07257,12614.48568,6106.987892,22612.67898,35183.50202,11863.52286,7920.051655,15553.97063,61109.66977,14064.05066,22575.45061,22073.71334,7886.407752,30137.8106,585.270098,15387.58261,43710.99785
3987,22910.96281,8601.066652,9049.021547,22981.30243,14034.36523,71921.76998,16101.53551,11259.83718,3316.893395,35053.90725,8091.030716,37410.42752,21435.0657,15749.24122,62281.17029,12433.0374,6052.157203,22244.9842,35077.7291,11860.49649,7919.93069,15025.84952,60579.88069,13606.89626,22425.76385,20776.97424,7745.585829,29233.35356,566.9276078,14623.65691,42987.05263
3988,22551.10525,8327.345736,8779.869689,22308.79016,13953.85948,68698.85321,15484.85417,10825.98915,3213.191786,34205.17301,8090.169792,36995.3928,21083.20356,15466.22479,61894.966,12191.78778,5974.384373,22061.0366,35084.95652,11893.66281,7764.172972,14869.63065,60065.05846,13182.84895,22231.02368,20639.52684,7734.159167,28979.3764,539.1309749,14410.27064,42654.05907
3989,22551.04765,8230.887651,8719.035344,22026.79894,13852.99539,65574.61063,15299.99202,10677.14731,3141.058954,34159.80647,8177.322964,36708.58107,21005.50594,15295.11179,61756.13501,12067.54011,5994.410552,21937.26536,34903.84038,11868.91996,7963.159577,14742.33428,59284.0944,13020.03834,22179.24055,20488.96537,7592.467881,28772.8417,518.5504402,14133.9104,42478.80051
3990,22926.58685,8458.170514,8852.25572,22020.40083,13782.12531,63833.15104,14999.58263,10596.37991,3119.892494,34579.33153,8718.559591,36265.68278,21165.3619,15466.05886,62473.3651,12312.40927,6313.265669,22491.63821,35104.63762,11944.78145,7886.748775,14869.11594,60361.3926,13476.50138,22323.67157,20430.97778,7817.076961,28771.72673,521.5806929,14025.00078,42819.2413
3991,24167.94383,9146.112223,9325.728182,22935.69617,14017.45787,62765.51585,15689.47224,11037.82016,3207.814189,36307.2621,10290.79895,37640.47788,22084.26763,16415.03454,64770.80038,12530.08853,7013.378801,23433.61672,35822.06634,12089.46049,7998.693451,15374.76069,61739.15208,14219.95021,22560.85058,20924.41465,8113.589403,28772.06758,533.709938,14410.37803,44309.58952
3992,25662.64504,10432.08765,10244.12999,24422.20327,14591.29593,63087.26553,17425.81429,12536.20616,3429.946946,40297.08033,10953.83169,41709.53633,23459.15467,18822.29957,66210.68889,14125.96393,7441.9743,23868.46122,36772.36962,12156.04943,8490.905192,16885.38795,64431.2303,14737.82559,23655.65951,21881.45035,8649.905355,29149.35557,577.111302,15371.78422,45849.62901
3993,24974.5819,10658.8126,11054.06896,25269.69556,15187.34982,61195.43953,17691.85616,14461.21702,3517.781237,40137.56489,10589.6932,39561.95485,24494.18368,19024.40056,66127.1297,14412.3654,7409.822505,22004.36022,36432.93028,11877.93035,8614.754024,17236.4781,63537.82669,15632.25971,23200.43228,23403.33898,9137.641962,29236.30518,640.9952535,16873.85808,48047.6224
