technology,year,parameter,value,unit,source,further description,file_path
decentral gas boiler,2045,FOM,6.72,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral gas boiler,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral gas boiler,2045,efficiency,0.99,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","202 Natural gas boiler:  Total efficiency, annual average, net",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral gas boiler,2045,investment,275.59,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral gas boiler,2045,lifetime,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral coal boiler,2045,FOM,3.49,%/year,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral coal boiler,2045,discount rate,0.04,per unit,same as gas boiler,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral coal boiler,2045,efficiency,0.9,per unit,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral coal boiler,2045,investment,164.5,USD/kW_th,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral coal boiler,2045,lifetime,20.0,years,same as gas boiler,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral gas boiler connection,2045,investment,172.24,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",:  Possible additional specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral gas boiler connection,2045,lifetime,50.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral ground-sourced heat pump,2045,FOM,1.94,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral ground-sourced heat pump,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral ground-sourced heat pump,2045,efficiency,4.01,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","207.7 Ground source existing:  Heat efficiency, annual average, net, radiators, existing one family house",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral ground-sourced heat pump,2045,investment,1250.0,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral ground-sourced heat pump,2045,lifetime,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral oil boiler,2045,FOM,2.0,%/year,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf), from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral oil boiler,2045,efficiency,0.9,per unit,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf), from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral oil boiler,2045,investment,156.01,EUR/kWth,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf) (+eigene Berechnung), from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral oil boiler,2045,lifetime,20.0,years,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf), from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral resistive heater,2045,FOM,2.0,%/year,Schaber thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral resistive heater,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral resistive heater,2045,efficiency,0.9,per unit,Schaber thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral resistive heater,2045,investment,100.0,EUR/kWhth,Schaber thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral resistive heater,2045,lifetime,20.0,years,Schaber thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral solar thermal,2045,FOM,1.3,%/year,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral solar thermal,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral solar thermal,2045,investment,270000.0,EUR/1000m2,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral solar thermal,2045,lifetime,20.0,years,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral water tank storage,2045,FOM,1.0,%/year,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral water tank storage,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral water tank storage,2045,investment,18.38,EUR/kWh,IWES Interaktion, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral water tank storage,2045,lifetime,20.0,years,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
digestible biomass,2045,fuel,15.0,EUR/MWh_th,"JRC ENSPRESO ca avg for MINBIOAGRW1, ENS_Ref for 2040",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
digestible biomass to hydrogen,2045,FOM,4.25,%/year,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
digestible biomass to hydrogen,2045,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
digestible biomass to hydrogen,2045,efficiency,0.39,per unit,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
digestible biomass to hydrogen,2045,investment,2750.0,EUR/kW_th,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,FOM,4.95,%/year,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,compression-electricity-input,0.15,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,compression-heat-output,0.2,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,electricity-input,0.29,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,heat-input,1.5,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,heat-output,0.75,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,investment,4500000.0,EUR/(tCO2/h),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct air capture,2045,lifetime,20.0,years,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas,2045,FOM,1.09,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas,2045,VOM,0.28,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas,2045,efficiency,1.0,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","312.a Direct firing Natural Gas:  Total efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas,2045,investment,15.0,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas,2045,lifetime,15.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas CC,2045,FOM,1.09,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas CC,2045,VOM,0.28,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas CC,2045,efficiency,1.0,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","312.a Direct firing Natural Gas:  Total efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas CC,2045,investment,15.0,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing gas CC,2045,lifetime,15.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.a Direct firing Natural Gas:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels,2045,FOM,1.43,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels,2045,VOM,0.33,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels,2045,efficiency,1.0,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","312.b Direct firing Sold Fuels:  Total efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels,2045,investment,220.0,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels,2045,lifetime,15.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels CC,2045,FOM,1.43,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels CC,2045,VOM,0.33,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels CC,2045,efficiency,1.0,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","312.b Direct firing Sold Fuels:  Total efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels CC,2045,investment,220.0,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
direct firing solid fuels CC,2045,lifetime,15.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",312.b Direct firing Sold Fuels:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electric boiler steam,2045,FOM,1.35,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",310.1 Electric boiler steam  :  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electric boiler steam,2045,VOM,0.78,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",310.1 Electric boiler steam  :  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electric boiler steam,2045,efficiency,0.99,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","310.1 Electric boiler steam  :  Total efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electric boiler steam,2045,investment,70.0,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",310.1 Electric boiler steam  :  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electric boiler steam,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",310.1 Electric boiler steam  :  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electricity distribution grid,2045,FOM,2.0,%/year,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electricity distribution grid,2045,investment,500.0,EUR/kW,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electricity distribution grid,2045,lifetime,40.0,years,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electricity grid connection,2045,FOM,2.0,%/year,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electricity grid connection,2045,investment,140.0,EUR/kW,DEA, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electricity grid connection,2045,lifetime,40.0,years,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,C in fuel,0.93,per unit,Stoichiometric calculation,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,FOM,2.92,%/year,combination of BtL and electrofuels,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,VOM,2.72,EUR/MWh_th,combination of BtL and electrofuels,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,efficiency-biomass,1.33,per unit,Stoichiometric calculation,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,efficiency-hydrogen,1.28,per unit,Stoichiometric calculation,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,efficiency-tot,0.65,per unit,Stoichiometric calculation,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrobiofuels,2045,investment,329978.85,EUR/kW_th,combination of BtL and electrofuels,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrolysis,2045,FOM,2.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrolysis,2045,efficiency,0.73,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Hydrogen,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrolysis,2045,efficiency-heat,0.1,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:   - hereof recoverable for district heating,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrolysis,2045,investment,275.0,EUR/kW_e,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
electrolysis,2045,lifetime,33.5,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
fuel cell,2045,FOM,5.0,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
fuel cell,2045,c_b,1.25,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Cb coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
fuel cell,2045,efficiency,0.5,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
fuel cell,2045,investment,875.0,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
fuel cell,2045,lifetime,10.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas,2045,CO2 intensity,0.2,tCO2/MWh_th,Stoichiometric calculation with 50 GJ/t CH4,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas,2045,fuel,20.1,EUR/MWh_th,BP 2019,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas boiler steam,2045,FOM,3.85,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas boiler steam,2045,VOM,1.0,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas boiler steam,2045,efficiency,0.94,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","311.1c Steam boiler Gas:  Total efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas boiler steam,2045,investment,45.45,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas boiler steam,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas storage,2045,FOM,3.59,%,Danish Energy Agency,"150 Underground Storage of Gas, Operation and Maintenace, salt cavern (units converted)",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas storage,2045,investment,0.03,EUR/kWh,Danish Energy Agency,"150 Underground Storage of Gas, Establishment of one cavern (units converted)",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas storage,2045,lifetime,100.0,years,TODO no source,"estimation: most underground storage are already build, they do have a long lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas storage charger,2045,investment,14.34,EUR/kW,Danish Energy Agency,"150 Underground Storage of Gas, Process equipment (units converted)",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
gas storage discharger,2045,investment,4.78,EUR/kW,Danish Energy Agency,"150 Underground Storage of Gas, Process equipment (units converted)",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
geothermal,2045,CO2 intensity,0.03,tCO2/MWhth,https://www.eia.gov/environment/emissions/co2_vol_mass.php, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
geothermal,2045,FOM,2.36,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
geothermal,2045,efficiency,0.24,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
geothermal,2045,investment,3392.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
geothermal,2045,lifetime,40.0,years,IEA2010, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
helmeth,2045,FOM,3.0,%/year,no source, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
helmeth,2045,efficiency,0.8,per unit,HELMETH press release, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
helmeth,2045,investment,2000.0,EUR/kW,no source, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
helmeth,2045,lifetime,25.0,years,no source, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
home battery inverter,2045,FOM,0.68,%/year,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
home battery inverter,2045,efficiency,0.96,per unit,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
home battery inverter,2045,investment,115.9,EUR/kW,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
home battery inverter,2045,lifetime,10.0,years,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
home battery storage,2045,investment,122.66,EUR/kWh,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
home battery storage,2045,lifetime,30.0,years,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
hydro,2045,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
hydro,2045,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
hydro,2045,investment,2208.16,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
